Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
,,,,,15232,57.0,57,,,,,,
,,,,,15270,38.0,38,,,,,,
,,,,,15353,83.0,83,,,,,,
,,,,,15459,106.0,106,,,,,,
,,,,,15575,116.0,116,,,,,,
,,,,,15592,17.0,17,,,,,,
,,,,,15613,21.0,21,,,,,,
,,,,,15628,15.0,15,,,,,,
,,,,,15639,11.0,11,,,,,,
,,,,,15685,46.0,46,,,,,,
,,,,,15696,11.0,11,,,,,,
,,,,,15713,17.0,17,,,,,,
,,,,,15823,110.0,110,,,,,,
,,,,,15971,148.0,148,,,,,,
,,,,,16000,,,0.02294807694852352,13.495559692382812,13.497109413146973,0.601104736328125,0.52,0.0005
,,,,,16039,68.0,68,,,,,,
,,,,,16158,119.0,119,,,,,,
,,,,,16199,41.0,41,,,,,,
,,,,,16243,44.0,44,,,,,,
,,,,,16296,53.0,53,,,,,,
,,,,,16335,39.0,39,,,,,,
,,,,,16377,42.0,42,,,,,,
,,,,,16447,70.0,70,,,,,,
,,,,,16506,59.0,59,,,,,,
,,,,,16561,55.0,55,,,,,,
,,,,,16605,44.0,44,,,,,,
,,,,,16650,45.0,45,,,,,,
,,,,,16685,35.0,35,,,,,,
,,,,,16715,30.0,30,,,,,,
,,,,,16746,31.0,31,,,,,,
,,,,,16762,16.0,16,,,,,,
,,,,,16817,55.0,55,,,,,,
,,,,,16871,54.0,54,,,,,,
,,,,,16914,43.0,43,,,,,,
,,,,,16926,12.0,12,,,,,,
,,,,,16940,14.0,14,,,,,,
,,,,,16958,18.0,18,,,,,,
,,,,,17000,,,0.032625000923871994,14.419610977172852,14.430870056152344,2.0989363193511963,0.49,0.0005
,,,,,17048,90.0,90,,,,,,
,,,,,17121,73.0,73,,,,,,
,,,,,17153,32.0,32,,,,,,
,,,,,17175,22.0,22,,,,,,
,,,,,17305,130.0,130,,,,,,
,,,,,17364,59.0,59,,,,,,
,,,,,17407,43.0,43,,,,,,
,,,,,17419,12.0,12,,,,,,
226.5,28.748043,283.0,198.0,226.5,17500,,,0.8541646003723145,14.506176948547363,14.463817596435547,4.4400434494018555,0.475,0.0005
,,,,,17506,87.0,87,,,,,,
