Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,alpha,alpha_loss,actor_lr,critic_lr,temperature
,,,,,3601,6.0,6,,,,,,,,,,
,,,,,3604,3.0,3,,,,,,,,,,
,,,,,3609,5.0,5,,,,,,,,,,
,,,,,3612,3.0,3,,,,,,,,,,
,,,,,3626,14.0,14,,,,,,,,,,
,,,,,3638,12.0,12,,,,,,,,,,
,,,,,3660,22.0,22,,,,,,,,,,
,,,,,3665,5.0,5,,,,,,,,,,
,,,,,3669,4.0,4,,,,,,,,,,
,,,,,3679,10.0,10,,,,,,,,,,
,,,,,3684,5.0,5,,,,,,,,,,
,,,,,3690,6.0,6,,,,,,,,,,
,,,,,3694,4.0,4,,,,,,,,,,
,,,,,3698,4.0,4,,,,,,,,,,
,,,,,3704,6.0,6,,,,,,,,,,
,,,,,3709,5.0,5,,,,,,,,,,
,,,,,3715,6.0,6,,,,,,,,,,
,,,,,3719,4.0,4,,,,,,,,,,
,,,,,3723,4.0,4,,,,,,,,,,
,,,,,3729,6.0,6,,,,,,,,,,
